Date|Sold to|Ship to|Ship to name|ContractType|Description|Volume(MMSCFD)|DemandPlan(BI)|MDCQ(BW)|Billing Type
07-11-2020|0010000001|0030000001|บริษัท กระจกลายสยาม จำกัด|151|Industrial|0.25477|652.65|0.257|ADQ
07-11-2020|0010000015|0030000015|บริษัท โคห์เลอร์ (ประเทศไทย) จำกัด(มหาชน)|151|Industrial|1.5052184|652.65|2.145|AMR
07-11-2020|0010000030|0030000030|บริษัท ภัทราพอร์ซเลน จำกัด|151|Industrial|0.5622453|652.65|0.471|AMR
07-11-2020|0010000038|0030000038|บริษัท สหโมเสคอุตสาหกรรม จำกัด (มหาชน)|151|Industrial|0.3465078|652.65|0.215|AMR
07-11-2020|0010000052|0030000052|บริษัท ไทยออยล์ จำกัด (มหาชน)|151|Industrial|15.0991164|652.65|11.421|AMR/FlowComp
07-11-2020|0010000053|0030000053|บริษัท ไทยอาซาฮีเคมีภัณฑ์ จำกัด|151|Industrial|0.0000|652.65|0.156|AMR
07-11-2020|0010000063|0030000063|บริษัท สยามมิชลิน จำกัด|151|Industrial|0.0000|652.65|0.20|AMR
07-11-2020|0010000063|0030000075|บริษัท สยามมิชลิน จำกัด|151|Industrial|0.0719713|652.65|0.052|AMR
07-11-2020|0010000077|0030000077||151|Industrial|1.4209575|652.65|1.736|AMR
07-11-2020|0010000078|0030000078|บริษัท ไทเท็กซ์ เอเซีย จำกัด|151|Industrial|0.0000|652.65|0.127|AMR
07-11-2020|0010000086|0030000086|บริษัท สยามคอมเพรสเซอร์อุตสาหกรรม จำกัด|151|Industrial|0.0058975|652.65|0.128|AMR
07-11-2020|0010000106|0030000109|บริษัท ไมย์เออร์ อลูมิเนียม (ประเทศไทย) จำกัด|151|Industrial|0.3209046|652.65|0.271|AMR
07-11-2020|0010000107|0030000111|บริษัท จี สตีล จำกัด (มหาชน)|151|Industrial|3.3487517|652.65|1.99|AMR
07-11-2020|0010000122|0030000126|บริษัท บี เอ เอส เอฟ (ไทย) จำกัด|151|Industrial|0.5859415|652.65|0.482|AMR
07-11-2020|0010000136|0030000141|บริษัท ยูเนี่ยนไทย-นิจิบัน จำกัด|151|Industrial|0.3203396|652.65|0.329|AMR
07-11-2020|0010000149|0030000154|บริษัท เอเวอรี่ เดนนิสสัน (ประเทศไทย) จำกัด|151|Industrial|0.1359262|652.65|0.116|AMR
07-11-2020|0010000150|0030000155|บริษัท บริดจสโตน เมตัลฟา(ประเทศไทย) จำกัด|151|Industrial|0.2197633|652.65|0.20|AMR
07-11-2020|0010000164|0030019231|บริษัท โกลว์ พลังงาน จำกัด (มหาชน)|151|Industrial|0.0000|652.65|0.187|ADQ
07-11-2020|0010000164|0030030778|บริษัท โกลว์ พลังงาน จำกัด (มหาชน)|152|Industrial-CoGen|0.0000|652.65|45.787|FlowComp
07-11-2020|0010000206|0030000239|บริษัท เฮลซ์เทรดดิ้ง (ประเทศไทย) จำกัด|151|Industrial|0.0260975|652.65|0.029|AMR
07-11-2020|0010000207|0030000240|บริษัท สตาร์ส เทคโนโลยี อินดัสเตรียล จำกัด|151|Industrial|0.0712297|652.65|0.241|AMR
07-11-2020|0010000916|0030044950|บริษัท ดาน่า สไปเซอร์ (ประเทศไทย) จำกัด|151|Industrial|0.0771273|652.65|0.058|AMR
07-11-2020|0010000925|0030022478|บริษัท ไทยสตีลโปรไฟล์ จำกัด (มหาชน)|151|Industrial|1.3863138|652.65|1.044|AMR
