,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2021-04-29,30000049,1.0745556,1.0890347,1.0137084,0.6874359,0.0,0.0,0.0
0,2021-04-28,30000049,1.0890347,1.0137084,0.6874359,0.0,0.0,0.0,0.0
0,2021-04-27,30000049,1.0137084,0.6874359,0.0,0.0,0.0,0.0,0.0
0,2021-04-26,30000049,0.6874359,0.0,0.0,0.0,0.0,0.0,0.0
0,2021-04-25,30000049,0.0,0.0,0.0,0.0,0.0,0.0,0.38662529999999995
0,2021-04-24,30000049,0.0,0.0,0.0,0.0,0.0,0.38662529999999995,0.9932612
0,2021-04-23,30000049,0.0,0.0,0.0,0.0,0.38662529999999995,0.9932612,1.0934843
0,2021-04-22,30000049,0.0,0.0,0.0,0.38662529999999995,0.9932612,1.0934843,0.4469428
0,2021-04-21,30000049,0.0,0.0,0.38662529999999995,0.9932612,1.0934843,0.4469428,0.0
0,2021-04-20,30000049,0.0,0.38662529999999995,0.9932612,1.0934843,0.4469428,0.0,0.0
0,2021-04-19,30000049,0.38662529999999995,0.9932612,1.0934843,0.4469428,0.0,0.0,0.0
0,2021-04-18,30000049,0.9932612,1.0934843,0.4469428,0.0,0.0,0.0,0.0
0,2021-04-17,30000049,1.0934843,0.4469428,0.0,0.0,0.0,0.0,0.0
0,2021-04-16,30000049,0.4469428,0.0,0.0,0.0,0.0,0.0,0.6433278
0,2021-04-15,30000049,0.0,0.0,0.0,0.0,0.0,0.6433278,1.1002646999999999
0,2021-04-14,30000049,0.0,0.0,0.0,0.0,0.6433278,1.1002646999999999,1.1091993999999998
0,2021-04-13,30000049,0.0,0.0,0.0,0.6433278,1.1002646999999999,1.1091993999999998,1.1055266000000001
0,2021-04-12,30000049,0.0,0.0,0.6433278,1.1002646999999999,1.1091993999999998,1.1055266000000001,1.0956738000000001
0,2021-04-11,30000049,0.0,0.6433278,1.1002646999999999,1.1091993999999998,1.1055266000000001,1.0956738000000001,0.3455896
0,2021-04-10,30000049,0.6433278,1.1002646999999999,1.1091993999999998,1.1055266000000001,1.0956738000000001,0.3455896,0.0
0,2021-04-09,30000049,1.1002646999999999,1.1091993999999998,1.1055266000000001,1.0956738000000001,0.3455896,0.0,0.0085814
0,2021-04-08,30000049,1.1091993999999998,1.1055266000000001,1.0956738000000001,0.3455896,0.0,0.0085814,0.3153955
0,2021-04-07,30000049,1.1055266000000001,1.0956738000000001,0.3455896,0.0,0.0085814,0.3153955,1.0203476
0,2021-04-06,30000049,1.0956738000000001,0.3455896,0.0,0.0085814,0.3153955,1.0203476,1.1174983
